time, raw, kalman
0, 0.8912509381337456, 0.8912510217271413
500, 1.7782794100389228, 1.7782510385742913
1000, 1.9952623149688795, 2.105838362449947
1500, 2.2387211385683394, 2.3596469672316953
2000, 1.1220184543019633, 1.7628078931977074
2500, 1.5848931924611136, 1.7029287270607707
3000, 3.1622776601683795, 2.434960014349548
3500, 4.466835921509632, 3.4488496407916864
4000, 0.8912509381337456, 2.6281483651542406
4500, 0.8912509381337456, 2.06968525880265
5000, 0.8912509381337456, 1.6800040727307162
5500, 0.8912509381337456, 1.4026104899530274
6000, 0.8912509381337456, 1.2021829835594944
6500, 0.8912509381337456, 1.055455541926822
7000, 0.8912509381337456, 0.9475260826082391
7500, 2.8183829312644537, 1.3801999177583357
8000, 0.8912509381337456, 1.2294858505628683
8500, 1, 1.138582060580487
9000, 4.466835921509632, 1.8826684835259657
9500, 0.8912509381337456, 1.6728418547103907
10000, 10, 3.49876185082022
10500, 2.51188643150958, 3.404656055394603
11000, 1.1220184543019633, 3.036614800294898
11500, 4.466835921509632, 3.395390232803694
12000, 7.079457843841379, 4.201552785453043
12500, 1.5848931924611136, 3.8336540341978007
13000, 3.9810717055349722, 3.96170911544628
13500, 17.78279410038923, 6.557483921217322
14000, 1.9952623149688795, 5.980524181276851
14500, 3.548133892335755, 5.74765614208657
15000, 1.5848931924611136, 5.20893711730442
15500, 8.912509381337454, 5.9542381468492
16000, 4.466835921509632, 5.871392663266134
16500, 1.1220184543019633, 5.259152752117169
17000, 1.7782794100389228, 4.825160793468768
17500, 10, 5.712032691985926
18000, 1.9952623149688795, 5.269389200224646
18500, 1, 4.728463396354704
19000, 1.7782794100389228, 4.364821598035358
19500, 11.220184543019636, 5.413249357674646
20000, 1.9952623149688795, 5.016206047008157
20500, 1.5848931924611136, 4.604031314060364
21000, 2.2387211385683394, 4.328045340862027
21500, 2.51188643150958, 4.1189963466968065
22000, 2.51188643150958, 3.9320566821170515
22500, 1.2589254117941673, 3.5960346268927292
23000, 5.011872336272722, 3.7951494623669837
23500, 1.9952623149688795, 3.575586560204602
24000, 3.1622776601683795, 3.530770018898104
24500, 3.9810717055349722, 3.595952479747609
25000, 3.1622776601683795, 3.5496433076529663
25500, 2.8183829312644537, 3.4642919592445125
26000, 3.9810717055349722, 3.5331244650732927
26500, 2.8183829312644537, 3.4505135063810157
27000, 1.5848931924611136, 3.223913440362432
27500, 4.466835921509632, 3.3716760796470733
28000, 5.011872336272722, 3.5712241117102135
28500, 17.78279410038923, 5.286837348652618
29000, 3.548133892335755, 5.139560893701016
29500, 22.3872113856834, 7.2359732165898425
30000, 3.548133892335755, 6.918108777928887
30500, 3.548133892335755, 6.626937368592731
31000, 4.466835921509632, 6.466459733593147
31500, 3.9810717055349722, 6.262334274443754
32000, 2.51188643150958, 5.906285116879355
32500, 14.12537544622754, 6.903369635622675
33000, 3.9810717055349722, 6.660979379907315
33500, 4.466835921509632, 6.492098881750353
34000, 4.466835921509632, 6.33612645535619
34500, 8.912509381337454, 6.68719481819733
35000, 5.623413251903491, 6.641031099071636
35500, 3.9810717055349722, 6.416537449611881
36000, 3.548133892335755, 6.16182054250345
36500, 3.548133892335755, 5.927859719302958
37000, 5.011872336272722, 5.871557356254811
37500, 3.1622776601683795, 5.61924759579314
38000, 15.848931924611133, 6.752375691504138
38500, 5.623413251903491, 6.6932905940524225
39000, 1.7782794100389228, 6.227715774480129
39500, 14.12537544622754, 7.110696460386797
40000, 2.2387211385683394, 6.662022869104606
40500, 3.1622776601683795, 6.345960767532922
41000, 12.589254117941675, 7.045255277104295
41500, 5.011872336272722, 6.892138998029826
42000, 1.7782794100389228, 6.413108854099719
42500, 10, 6.826797428400082
43000, 5.623413251903491, 6.752048397297313
43500, 3.1622776601683795, 6.427520671771847
44000, 1.1220184543019633, 5.917877593247377
44500, 2.2387211385683394, 5.5628990326066035
45000, 10, 6.031315987925313
45500, 2.2387211385683394, 5.668600069463249
46000, 0.8912509381337456, 5.196741698724798
46500, 1.1220184543019633, 4.785172386664663
47000, 3.9810717055349722, 4.696195585711758
47500, 0.8912509381337456, 4.301525768527665
48000, 0.8912509381337456, 3.9382500318629106
48500, 0.8912509381337456, 3.603666545940145
49000, 1.2589254117941673, 3.333259781167099
49500, 0.8912509381337456, 3.0477784824242105
50000, 0.8912509381337456, 2.785248391443992
50500, 1.9952623149688795, 2.654891837507415
51000, 0.8912509381337456, 2.425847738301718
51500, 0.8912509381337456, 2.2157024431446106
52000, 1.9952623149688795, 2.132944249242608
52500, 1.9952623149688795, 2.0580531044220383
53000, 0.8912509381337456, 1.8809301250183557
53500, 0.8912509381337456, 1.7190069109404953
54000, 2.51188643150958, 1.7309739525026782
