-71.3333333333,126.394
-70.8888888889,127.393
-70.1111111111,128.394
-70.2222222222,129.391
-70.6666666667,130.396
-70.3333333333,132.396
-69.2222222222,133.387
-69.0,135.389
-68.2222222222,137.393
-68.5555555556,138.397
-69.1111111111,139.398
-69.1111111111,141.396
-69.6666666667,144.394
-69.1111111111,145.39
-69.2222222222,146.388
-70.3333333333,147.393
-70.8888888889,149.393
-71.3333333333,150.398
-70.7777777778,152.41
-70.3333333333,153.413
-70.6666666667,154.41
-69.5555555556,155.419
-69.8888888889,156.417
-70.1111111111,157.393
-68.7777777778,158.391
-68.4444444444,159.394
-68.6666666667,161.391
-69.0,163.394
-68.7777777778,164.397
-69.1111111111,165.399
-69.4444444444,166.4
-70.0,168.399
-70.1111111111,169.394
-69.7777777778,173.391
-71.0,174.388
