-76.0,0.977
-72.0,1.958
-74.0,4.006
-66.0,4.983
-78.0,6.95
-73.0,7.927
-61.0,8.908
-68.0,9.885
-65.0,10.867
-69.0,11.024
-66.0,12.006
-70.0,13.961
-76.0,16.001
-72.0,16.983
-75.0,17.961
-69.0,18.938
-71.0,19.918
-72.0,20.896
-65.0,21.878
-63.0,22.855
-65.0,23.025
-60.0,24.003
-63.0,25.96
-65.0,28.01
-63.0,28.983
-67.0,29.96
-71.0,30.938
-65.0,31.915
-68.0,32.901
-66.0,33.877
-63.0,34.861
-66.0,36.006
-69.0,36.983
-68.0,37.966
-69.0,40.006
-66.0,40.988
-66.0,42.941
-63.0,43.918
-68.0,44.899
-61.0,45.873
-60.0,46.857
-68.0,47.029
-68.0,48.009
-66.0,49.961
-68.0,51.027
-67.0,51.996
-60.0,52.979
-64.0,53.963
-63.0,54.952
-63.0,55.92
-73.0,56.899
-63.0,57.912
-72.0,58.849
-67.0,59.021
-61.0,61.022
-68.0,63.02
-65.0,63.997
-68.0,65.957
-60.0,66.93
-68.0,67.921
-65.0,68.894
-61.0,69.87
-64.0,70.851
-65.0,71.027
-69.0,72.009
-72.0,72.991
-71.0,73.973
-75.0,75.026
-76.0,76.009
-70.0,76.993
-72.0,77.969
-88.0,78.949
-77.0,79.93
-62.0,80.907
-67.0,81.885
-71.0,82.863
-83.0,83.026
-70.0,85.027
-72.0,88.002
-68.0,88.98
-67.0,89.966
